Tim Burton,director / executive producer 
Stephan Pehrsson,cinematography
David Lanzenberg,cinematography
Ana Yavari,film editing
Jay Prychidny,film editing
Paul G. Day,additional editor / film editing
Florina Fernandes,casting
Sophie Holland,casting
John Papsidera,casting
Mark Scruton,production design
Adrian Curelea,supervising art director / supervising art director
Ghinea Diana,art direction
Silvia Nancu,art direction
Andrei-Florian Popa,assistant art director / additional standby art director
Serban Porupca,senior art director / senior art director
Vlad Roseanu,on-set art director / art director
Roxana Alexandru,art direction
Carmen Ratoi,art direction
Laurentiu Zarnoianu,leadman / set direction
David Morison,set direction
Rob Hepburn,set direction
Colleen Atwood,costume design
Bianca Boeroiu,makeup artist
Catalin Ciutu,hair stylist supervisor: crowd
Natalie L Costello,special makeup effects artist
Julian Hutcheson,special makeup effects artist
Nirvana Jalalvand,hair & makeup artist: main team
Grace McComisky,prosthetic artist / prosthetic makeup artist
Tara McDonald,hair & makeup designer
Dominic Mombrun,dental effects designer & fabricator
Angela Ruiz Morales,prosthetics artist
Paraschiv Oana,makeup artist 
Alexandru Sassu,assistant makeup artist
Bas Schwarz,special effects makeup artist: mouldmaker & props
Rub�n Serra,special makeup effects artist
Margo Stefan,hair stylist
Viktoria Stieber,prosthetic makeup artist
Sinead Sweeney,SFX contact lens coordinator
Iuliana Temelie,hair stylist
Clara Tudose,hair & makeup artist
Raquel �lvarez,prosthetic makeup sculptor
Freda Ellis,makeup supervisor
Ripley Dale-Gulston,junior hair & makeup artist
Olimpia Stoicea,hair & makeup artist: main team
Tia Costell,junior hair & makeup artist
Susan Cole,personal hair stylist
Jean Carlos de Blas,key hair & makeup artist
Gabriella Havens,makeup artist
Sheherezada Kouchaki,makeup artist
Raluca Moldoveanu,makeup artist
Andrea Dardea Tesdall,special makeup effects artist
Nicoleta Toader,hair stylist
Natalie Fox,additional hair & makeup artist
Niki De Jong,prosthetic makeup artist
Ionel Popa,special makeup effects artist
Athina Sapanidis,prosthethic makeup artist
Razvan Badea,unit production manager / production manager
Irene Iovan Calangiu,health & safety unit production manager: covid
Alexandru Cseh,production manager: second unit
Emma Mallett,unit production manager: additional photography
Alexandru Acsinte,assistant director
Emilie Balusson,second second assistant director / co-second assistant director
Bianca Bumbacea,assistant director / basecamp runner
Simona Dinu,second assistant director
Mariana Grama,crowd second assistant director
Mircea Hategan,first assistant director
Stefania Ispas,trainee assistant director
Loyzo,third assistant director
Raphael Tudor,third assistant director
Costin Sforaru,assistant director
Sabina Balan,crowd first assistant director
Brett Chan,second unit director / stunt coordinator
Ada Dumitru,cast assistant
Emyr Glyn Rees,second assistant director / first assistant director
Jessica Kirec,second assistant director
George Walker,first assistant director
Richard O'Brien-Moran,first assistant director
Mihaela Ionita,second assistant director
Alexandra Popa,crowd second assistant director
Alexandru Trandafira,crowd assistant director
Sucioaia Alexandra,set dressing painter
Tache Alexandru,graphic designer
Corneliu Mihai Bonciu,sculptor
Rachel Garlick,storyboard artist
Florin Gavrila,lead set dressing painter
Adi Handac,property master
Dana Ilie,art department manager
Alexandru Titus Ipate,action vehicles supervisor
Simona Maican,art department coordinator
Cristian Mihaila,assistant set decorator / set decoration buyer
Cosmin Miroiu,head of greenery
Amalia Mititelu,set dressing painter
Pietro Nume,concept artist
Iulia Petrescu,assistant set decorator
Madalina Ripanu,clearance coordinator
Geaniloni Sandru,lead painter
Eusebiu Sirbu,head graphic designer
Cristina Stefan,graphic designer
Alexandra Tudor,assistant art director
Liviu Antonescu,graphic designer
Madalina Ciosu,set designer
Tudor Iordachescu,set designer
Anca Iscru,set designer
Ana Neag,assistant art director
Iulia Pasarica,assistant art director
Andreea Siminea,set designer
Amy Lockwood,assistant set decorator
Andrew Cherry,storyboard artist
Cristian Darstar,storyboard artist
Radu Costache,assistant property master
Jennifer Keen,first set decoration buyer
Karen Krizanovich,production design researcher
Ben Livingstone,illustrator
Yohann Angelvy,french casting mixer
Michael Baskerville,re-recording mixer
Nicolae Comarzan,sound mixer: second unit
Tony Diaz,adr mixer
Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer
Alastair Gray,dialogue editor
Justin Helle,foley mixer
John Loranger,supervising sound editor
Liviu Lupsa,sound mixer
Kristi McIntyre,adr editor / sound effects editor
Sean Miller,adr recordist
Faustine Pelipel,assistant sound editor
Dan Sexton,sound effects editor
Alex Stylianou,adr recordist
Jamie Sulek,re-recording mixer
Mike Tehrani,adr mixer
Marcus Byrne,adr mixer
Greg Crawford,adr mixer
Juan Martin Del Campo,adr mixer
Tim McKeever,adr mixer
Simon Diggins,adr mixer
Jonathan Gomez,adr mixer
Nathan Jackson,foley editor
William Kellerman,foley artist
Leslie Liu,adr mixer
Ana Quiroga,audio coordinator (uncredited)
Dan Barcutean,special effects technician
Max Costello,special effects technician
Florin Stoian,special effects technician
Harry Troughton,special effects coordinator
Jason Troughton,special effects supervisor
Adrian Nica,lead technician
Ilinca Angelescu,special effects makeup
Yovko Dogandjiiski,special effects supervisor
Antonia Tocheva,special effects office coordinator
Matthew Adams,digital compositor: Ghost VFX Toronto
Oana Bardan,visual effects coordinator
Craig Calvert,visual effects supervisor: Mr. X
Kevin Chandoo,head of studio: Ghost VFX Toronto
Nick Colangelo,visual effects producer: Mr. X
John Coldrick,visual effects supervisor: Rocket Science VFX
Sam Cole,lighting lead: Mr. X
Chris Cooper,cg supervisor: Mr. X
Roger Dalupang,lead render wrangler/pipeline td
Swedyl DSouza,visual effects production manager
Maxime Ducharme,visual effects artist: MELS
Paula Fanaia,digital compositor: Ghost VFX Toronto
Mariah Fleetham,visual effects production assistant: Take 5 VFX
Kathryn Foster,visual effects editor: Ghost VFX Toronto
Ben Funk,lead compositor: Take 5 VFX
Keith Goh,visual effects assistant editor: MPC
Kari-Lyn Gravel,visual effects associate line producer: Stereo D
Jon Howard,visual effects producer: Ghost VFX Toronto
Kent Johnson,visual effects producer
Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX
Jesse Kawzenuk,on-set visual effects supervisor
Grant Lee,visual effects supervisor: Stereo D
Jake Lunt Davies,concept design
Dumitrana Teodora Lupu,visual effects production assistant
Amy Madigan,visual effects production manager: Stereo D
Yael Majors,visual effects assistant supervisor: Stereo D
Mariano Mendoza,assets lead: Mr. X
Guillermo Molina,lead tools developer
Skye Morandin,visual effects production manager: Stereo D
Tom Nagy,animation supervisor: Mr. X
Ken Nielsen,compositing supervisor: Ghost VFX Toronto
Razvan Nineaca,data wrangler
Anthony O'Connell,Render Wrangler
Catalin Otelea,data wrangler
Matei Ovejan,data wrangler
Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto
Travis Pond,compositor: Take 5 VFX
Yawar Raja,layout lead: Mr. X
Aditya Sawant,visual effects coordinator: Ghost VFX Toronto
Matt Schofield,vfx head of operations
Ksenia Shutova,compositor: Take 5 VFX
Mark Simone,visual effects producer: Stereo D
Denis St-Pierre,compositor: Take 5 VFX
Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS
Jason Teske,rigging lead: Mr. X
Tom Turnbull,visual effects supervisor
Fabian Varela,visual effects producer: Ghost VFX Toronto
Kelly Weisz,visual effects studio manager: Take 5 VFX
Angela Zhang,visual effects production manager: Mr. X
Kayden Anderson,visual effects producer: Rocket Science VFX
Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies
Rashid Khallouk,compositing lead: Mr. X
Timothy Mah,visual effects editor: Rocket Science VFX
Michael Osuszek,visual effects coordinator: Rocket Science VFX
Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies
Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX
Francois Robert,matchmove/layout artist: MELS
Adam Smith,lead compositor: Rocket Science VFX
Sarvesh Amre,visual effects production manager: NetFX Mumbai
Benoit Briere,visual effects supervisor: MELS
Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies
Dipak Gaur,digital compositor: Ghost VFX Toronto
Taraknath Ghosh,paint artist: Stereo D
Baz Lanaris,cg supervisor: MELS
Prateek Mishra,paint artist: Stereo D
Erin Nicholson,cg supervisor: Ghost VFX Toronto
Bikram Singh,paint artist: Stereo D
Khushroo Surveyor,visual effects lighter: Rocket Science VFX
Ramesh Kumar Yanagandhula,paint artist: Stereo D 
Lynx Zuo,digital compositor: Ghost VFX Toronto (6 episodes 2022)
Patti Gannon,compositor: Take 5 VFX (4 episodes 2022)
Tanya Haddad,visual effects producer: Folks VFX (5 episodes 2022)
JoAnna Johnson,compositor: Rocket Science VFX (4 episodes 2022)
Luca Lim Diniz,visual effects artist: MELS (4 episodes 2022)
Brodie McNeill,visual effects supervisor: Folks VFX (5 episodes 2022)
Tabata Ortiz,visual effects artist: MELS (4 episodes 2022)
Nishant Patel,visual effects lighter: Rocket Science VFX (1 episode 2022)
Umapathy Rajarathinam,compositor: Rocket Science VFX (4 episodes 2022)
Genesis Rivas,compositor: Take 5 VFX (4 episodes 2022)
Manish Rohith,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022)
Salil Thapa,visual effects line producer: NetFX Mumbai (5 episodes 2022)
Francois Trudel,visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022)
Wesley While,compositor: Take 5 VFX (5 episodes 2022)
Kaylie Whitcher,visual effects producer: Folks VFX (5 episodes 2022)
Sarah Wormsbecher,visual effects executive producer: Folks VFX (5 episodes 2022)
Summer Zong,cg supervisor: Folks VFX (5 episodes 2022)
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022)
David Dionne,visual effects artist: MELS (2 episodes 2022)
Josh George,fx lead: Folks VFX (3 episodes 2022)
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022)
Christopher Jude,compositor: Rocket Science VFX (3 episodes 2022)
Jose Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022)
Marco Lee,compositing supervisor: Folks VFX (3 episodes 2022)
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai (4 episodes 2022)
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022)
Sumit Mukherjee,paint supervisor: NetFX Mumbai (4 episodes 2022)
Isha Nigam,head of production: NetFX Mumbai (4 episodes 2022)
Ryan Jae Wook Park,layout supervisor: Folks VFX (3 episodes 2022)
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies (1 episode 2022)
Kyle Sim,head of 2d: Folks VFX (4 episodes 2022)
Pankaj Umbarkar,junior paint lead: NetFX Mumbai (4 episodes 2022)
Sahil Agrahari,junior paint artist: NetFX Mumbai (2 episodes 2022)
Chris Archinet,visual effects artist: MELS (2 episodes 2022)
Ajay Kumar Attinti,roto lead: NetFX Mumbai (3 episodes 2022)
Samuel Boisvert,visual effects artist: MELS (2 episodes 2022)
Reine Bourgault,visual effects artist: MELS (2 episodes 2022)
Aakash Chaudhari,roto artist: NetFX Mumbai (2 episodes 2022)
Dave David,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes 2022)
Nadine Freve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes 2022)
Mark Goldberg,compositor (2 episodes 2022)
Leonardo Andres Grabau Villalba,visual effects artist: MELS (2 episodes 2022)
Jonathan Gregoire,visual effects artist: MELS (3 episodes 2022)
Jeanne Hebert,visual effects artist: MELS (2 episodes 2022)
Pravin Hodage,2d supervisor: NetFX Mumbai (2 episodes 2022)
Cory Humes,animation supervisor: Folks VFX (3 episodes 2022)
Siddarth Jambhulkar,compositor: Rocket Science VFX (2 episodes 2022)
Mukesh Joshi,senior i/o coordinator: NetFX Mumbai (2 episodes 2022)
Simon Lecavalier,cg supervisor: MELS (2 episodes 2022)
Christophe Longtin,visual effects artist: MELS (2 episodes 2022)
Oleg Memukhin,fx supervisor: Folks VFX (3 episodes 2022)
Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies (2 episodes 2022)
Dany Richard,visual effects artist: MELS (2 episodes 2022)
Nisarg Suthar,lighting supervisor: Folks VFX (3 episodes 2022)
Nitesh Sutrave,compositing supervisor: NetFX Mumbai (3 episodes 2022)
Sarvesh Talekar,roto artist: NetFX Mumbai (2 episodes 2022)
Himani Tyagi,junior paint artist: NetFX Mumbai (2 episodes 2022)
Waseem Ahmad Khan,paint artist: Stereo D (1 episode 2022)
Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies (1 episode 2022)
Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022)
Blake Anderson,visual effects supervisor: VFX Legion (1 episode 2022)
Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022)
Edwin Arismendez,visual effects artist: MELS (2 episodes 2022)
Jessica Bayliss,head of production: Monsters Aliens Robots Zombies (2 episodes 2022)
Sudhakar Bhavanasi,deputy manager: Stereo D (1 episode 2022)
Alan Bisht,compositing artist: NetFX Mumbai (1 episode 2022)
William Blanchette,visual effects artist: MELS (1 episode 2022)
Jordan Boulais,visual effects artist: MELS (2 episodes 2022)
J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies (2 episodes 2022)
Peter Braeley,digital matte painter: Folks VFX (1 episode 2022)
Charlotte Breton,visual effects editor: Folks VFX (1 episode 2022)
Alex Bronfman,sales lead: Monsters Aliens Robots Zombies (2 episodes 2022)
Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022)
Dennis Chan,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Hardik Chauhan,senior compositing artist: NetFX Mumbai (1 episode 2022)
Molly Chen,assets artist: Monsters Aliens Robots Zombies (1 episode 2022)
Sujesh V. Chitty,concept artist: Folks VFX (1 episode 2022)
Nolan Conrad,digital compositor: VFX Legion (1 episode 2022)
Andres Couturier,graphic artist: VFX Legion (1 episode 2022)
Madhu Dasyapu,assistant roto supervisor: Stereo D (1 episode 2022)
Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies (1 episode 2022)
Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022)
Maya Dumont-Deslandes,visual effects studio manager: MELS (1 episode 2022)
Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022)
Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies (1 episode 2022)
Timothy Fleur,creature artist: Monsters Aliens Robots Zombies (1 episode 2022)
Adam Fok,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022)
Gil Franco,assets artist: Monsters Aliens Robots Zombies (1 episode 2022)
Emily Funk,assets artist: Monsters Aliens Robots Zombies (1 episode 2022)
Antonio Gallardo,visual effects producer: VFX Legion (1 episode 2022)
Gregory Galliani,modeling lead: Monsters Aliens Robots Zombies (1 episode 2022)
Igor Garanovschii,matte painter: Rocket Science VFX (1 episode 2022)
Kunal Ghai,paint artist: Stereo D (1 episode 2022)
Rakan Ghresi,fx artist: Monsters Aliens Robots Zombies (1 episode 2022)
Jimmy Gill,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Yash Gowda,head of 2d: Monsters Aliens Robots Zombies (2 episodes 2022)
Jameer Haider,paint artist: NetFX Mumbai (1 episode 2022)
Lewis Hawkes,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022)
Jim Hillin,visual effects lighter Ghost VFX Toronto (1 episode 2022)
Curtis Hsiung,animator: Rocket Science VFX (2 episodes 2022)
Chen Kuang Hsu,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022)
Salvatore Iamonte,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022)
Pragati Jana,paint artist: Stereo D (1 episode 2022)
Juyong Jeon,visual effects artist (2 episodes 2022)
Kenny Jia,digital matte painter lead: Monsters Aliens Robots Zombies (1 episode 2022)
Laszlo Kalbache,asset artist: Rocket Science VFX (1 episode 2022)
Ashraf Karim,senior compositing artist: NetFX Mumbai (1 episode 2022)
Sharad Kate,paint artist: Stereo D (1 episode 2022)
Min Kim,compositing supervisor: Folks VFX (2 episodes 2022)
Jamie Knoop,visual effects production assistant: Stereo D (1 episode 2022)
Ashwini Lad,visual effects administrator: Stereo D (1 episode 2022)
Nadege Lagueux-Beloin,visual effects artist: MELS (1 episode 2022)
Tukaram Landbale,roto artist: NetFX Mumbai (1 episode 2022)
Dany Lebrasseur,visual effects artist: MELS (1 episode 2022)
Kate T.C. Lin,digital compositor: VFX Legion (1 episode 2022)
Matthias Lowry,digital compositor: VFX Legion (1 episode 2022)
Jimmy Lue,visual effects coordinator: Folks VFX (1 episode 2022)
Jim Maxwell,matte painter: Take 5 VFX (2 episodes 2022)
Jay Mehta,paint artist: NetFX Mumbai (1 episode 2022)
Kristine Middlemiss,head of technology: Monsters Aliens Robots Zombies (2 episodes 2022)
Ali Mio,visual effects producer: Rocket Science VFX (2 episodes 2022)
Guto Miranda,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Vashishta Mohit,compositing artist: NetFX Mumbai (1 episode 2022)
Lon Molnar,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022)
Jose Ignacio Narvaez Monroy,compositing lead: Mr. X (2 episodes 2022)
Atyeb Muneer,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Ganesh Ramdas Nalle,senior roto artist: NetFX Mumbai (1 episode 2022)
Michael Naphan,layout artist: Rocket Science VFX (1 episode 2022)
Marla Oriol,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022)
Daksh Pandya,visual effects artist (2 episodes 2022)
Niki Patterson,data technician: Stereo D (1 episode 2022)
Aravind Pauldurai,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Victor Perez,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Navin Pinto,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022)
Norman Ran,fx lead: Rocket Science VFX (1 episode 2022)
Parastu Rezaie,lighting lead: Monsters Aliens Robots Zombies (1 episode 2022)
Jean-Christophe Rodier,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022)
Dmitry Ryabchuk,environment lead: Monsters Aliens Robots Zombies (1 episode 2022)
Maryam Salehi,i/o: MELS (1 episode 2022)
Rajvinder Sandhu,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022)
Eric Sanford,creature lead: Monsters Aliens Robots Zombies (1 episode 2022)
Rohan Sapkal,junior roto artist: NetFX Mumbai (1 episode 2022)
Alexandre Savard-Boisvert,digital compositor (1 episode 2022)
Mark Schreiber,animator (1 episode 2022)
Aryan Sehgal,utility compositor (1 episode 2022)
Ronak Shah,fx lead: Monsters Aliens Robots Zombies (1 episode 2022)
Neelima Sharma,compositor: NetFX Mumbai (1 episode 2022)
Vishal Shitole,i/o coordinator: NetFX Mumbai (1 episode 2022)
Casey Sincic,visual effects producer: Monsters Aliens Robots Zombies (2 episodes 2022)
Lovelesh Singh,compositing artist: NetFX Mumbai (1 episode 2022)
Kalpana Mahapatro Siromani,art director & mattepainting lead (1 episode 2022)
Joseph Soloway,visual effects coordinator: VFX Legion (1 episode 2022)
Meredith Sproul,show coordinator: Monsters Aliens Robots Zombies (1 episode 2022)
Danny Testani,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Ali Thaheem,creature artist: Monsters Aliens Robots Zombies (1 episode 2022)
Hyacinthe Thomas,i/o: MELS (1 episode 2022)
Phillip Thomas,animation artist: Monsters Aliens Robots Zombies (1 episode 2022)
Susana Vasquez,visual effects production coordinator: Take 5 VFX (2 episodes 2022)
Marcus Vinicius,i/o: MELS (1 episode 2022)
Louis Vottero,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022)
Tina Vuu,visual effects coordinator: VFX Legion (1 episode 2022)
Tanja Wax,fx artist: Rocket Science VFX (1 episode 2022)
Christina Wise,head of studio: MELS (1 episode 2022)
Jill Wu,digital matte painter: Monsters Aliens Robots Zombies (1 episode 2022)
Alphonso Young,matte painter: Take 5 VFX (2 episodes 2022)
Refo Yovarda,visual effects production assistant: Stereo D (1 episode 2022)
Virpalsinh Zala,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022)
Abin Abraham,assets lead: MPC (uncredited) (8 episodes 2022)
Adrian Bobb,creature artist (uncredited) (8 episodes 2022)
Eddie Bonin,visual effects executive: Netflix (uncredited) (8 episodes 2022)
Remi Bruschini,pipeline td (uncredited) (8 episodes 2022)
Binod Kumar Das,asset supervisor: MPC (uncredited) (8 episodes 2022)
Tiago Foa,imaging engineer: Mr. X (uncredited) (8 episodes 2022)
Jaime Fok,visual effects editorial lead (uncredited) (8 episodes 2022)
J.P. Giamos,head of production: Rocket Science VFX (uncredited) (8 episodes 2022)
Martin Hesselink,Animation Supervisor (uncredited) (8 episodes 2022)
Rushikesh Chandrashekhar Kamble,3d digital matte painter (uncredited) (8 episodes 2022)
Daniel May,visual effects art direction (uncredited) (8 episodes 2022)
Rachad Meya,lighting supervisor (uncredited) (8 episodes 2022)
Shoupal Panda,texture & lookdev artist (uncredited) (8 episodes 2022)
Josephin Peichl,visual effects coordinator: Netflix (uncredited) (8 episodes 2022)
Rakesh,3d digital matte painter lead (uncredited) (8 episodes 2022)
Kim Rampaul,visual effects coordinator: Netflix (uncredited) (8 episodes 2022)
Saha Saikat,texturing & lookdev artist (uncredited) (7 episodes 2022)
Seema Schere,matte painter: Monsters Aliens Robots Zombies (uncredited) (8 episodes 2022)
Surajit Senapati,3d artist (uncredited) (8 episodes 2022)
Satyendra Sharma,compositor: MPC (uncredited) (8 episodes 2022)
Prathamesh Ashok Waykole,asset artist: MPC (uncredited) (8 episodes 2022)
Dean Wright,visual effects executive: MGM Television (uncredited) (8 episodes 2022)
Dylan Botnarenko,digital matte painter: MPC (uncredited) (6 episodes 2022)
Arjun Jasmeet Chawla,digital compositor: MPC (uncredited) (5 episodes 2022)
Dennis Tae Wook Kim,digital compositor (uncredited) (5 episodes 2022)
Hoss Ghaith,cg supervisor (uncredited) (3 episodes 2022)
Solyi Ha,compositor: Folks VFX (uncredited) (4 episodes 2022)
Caylee Han,compositor: Folks VFX (uncredited) (4 episodes 2022)
Krista Wettlaufer,digital artist (uncredited) (3 episodes 2022)
Christopher Lee Zammit,concept artist (uncredited) (4 episodes 2022)
Felipe Baldo,lighting artist: Folks VFX (uncredited) (3 episodes 2022)
Marc-Antoine Blais,digital compositor (uncredited) (2 episodes 2022)
Adrien Francomme,digital compositor (uncredited) (2 episodes 2022)
Eduardo Goncalves,digital compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022)
Alexander Greenberg,senior compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022)
Prashant Jain,3d digital matte painter (uncredited) (3 episodes 2022)
Hossein Karamian,compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022)
Giuseppe Motta,creature supervisor (uncredited) (3 episodes 2022)
Chokkarapu Sai Pradeep,visual effects lighting artist (uncredited) (2 episodes 2022)
Pedro Roloff,digital compositor (uncredited) (2 episodes 2022)
Ilija Sazdovski,layout artist (uncredited) (3 episodes 2022)
Jason Schick,digital compositor (uncredited) (2 episodes 2022)
Christa Tazzeo,visual effects executive producer: Rocket Science VFX (uncredited) (3 episodes 2022)
Sekh Batul Ali,visual effects artist (uncredited) (1 episode 2022)
Luca Buonopane,key groom artist: MPC (uncredited) (1 episode 2022)
Julian Fadalti,layout artist (uncredited) (1 episode 2022)
Nitin Garg,senior lookdev artist: Folks VFX (uncredited) (1 episode 2022)
Avinash Kodali,lighting artist (uncredited) (1 episode 2022)
Genevieve Morneau,digital compositor: MELS (uncredited) (1 episode 2022)
Alex Park,matchmove artist: Folks VFX (uncredited) (1 episode 2022)
Evan Roberts,lighting artist (uncredited) (1 episode 2022)
Pavankumar Sagiraju,lighting artist (uncredited) (1 episode 2022)
Yulia Segura,compositor: Folks VFX (uncredited) (1 episode 2022)
Amarjit Singha,3d artist (uncredited) (1 episode 2022)
Ionut Cotruta,stunt rigger (8 episodes 2022)
Jason Ng,assistant stunt coordinator / cover stunt coordinator (8 episodes 2022)
Jenny Umbhau,stunt double: Jenna Ortega (8 episodes 2022)
Fanel Ursu,stunt rigger (8 episodes 2022)
Andrei Vintileanu,stunt rigger (8 episodes 2022)
Daniel Visan,stunts (8 episodes 2022)
Nailah Johnson,stunt double: Joy Sunday / stunt performer (2 episodes 2022)
Kinga Kives,stunt performer (3 episodes 2022)
Alexandre Lopoka,stunt double: Tommie Earl Jenkins (2 episodes 2022)
Milena Brewster,stunt double: Johnna Dias-Watson (1 episode 2022)
Maxime Coulon,stunt double: Calum Ross (1 episode 2022)
Gabrielle Anne Desy,stunt double: Emma Myers (1 episode 2022)
Victoria Goodman,stunt performer (1 episode 2022)
Matt Kennedy,stunt performer (1 episode 2022)
Kaanchana Kerr,stunt performer (2 episodes 2022)
Darlene Pineda,stunt performer (1 episode 2022)
Phedra Syndelle,stunt double: Joy Sunday (1 episode 2022)
Alexandra Vilcsek,stunt performer (1 episode 2022)
Donat Bankuti,digital imaging technician: second unit (8 episodes 2022)
